"No.","Time","Source","Destination","Protocol","Length","Info"
"586","31.482272","11.100.87.183","5.135.215.43","RTP","108","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=0, Time=4136361733"
"587","31.482423","11.100.87.183","5.135.215.43","RTP","101","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=1, Time=4136362693"
"588","31.482482","11.100.87.183","5.135.215.43","RTP","101","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=2, Time=4136363653"
"589","31.482546","11.100.87.183","5.135.215.43","RTP","134","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=3, Time=4136364613"
"590","31.482609","11.100.87.183","5.135.215.43","RTP","150","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=4, Time=4136365573"
"591","31.482680","11.100.87.183","5.135.215.43","RTP","154","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=5, Time=4136366533"
"592","31.482738","11.100.87.183","5.135.215.43","RTP","142","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=6, Time=4136367493"
"593","31.482829","11.100.87.183","5.135.215.43","RTP","149","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=7, Time=4136368453"
"594","31.482892","11.100.87.183","5.135.215.43","RTP","131","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=8, Time=4136369413"
"595","31.482950","11.100.87.183","5.135.215.43","RTP","130","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=9, Time=4136370373"
"596","31.483005","11.100.87.183","5.135.215.43","RTP","123","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=10, Time=4136371333"
"597","31.483058","11.100.87.183","5.135.215.43","RTP","118","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=11, Time=4136372293"
"598","31.483113","11.100.87.183","5.135.215.43","RTP","125","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=12, Time=4136373253"
"599","31.512315","11.100.87.183","5.135.215.43","RTP","117","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=13, Time=4136374213"
"604","31.512715","11.100.87.183","5.135.215.43","RTP","112","PT=DynamicRTP-Type-96, SSRC=0xE2C2AC05, Seq=14, Time=4136375173"
